Time,Local Time,CO2_1,CO2_2
1720733106.0050328,Thu Jul 11 23:25:06 2024,"10001
","10001
"
1720733165.4991808,Thu Jul 11 23:26:05 2024,"10001
","None
"
1720733226.363388,Thu Jul 11 23:27:06 2024,"10001
","10001
"
1720733285.596859,Thu Jul 11 23:28:05 2024,"8002
","None
"
1720733346.2230163,Thu Jul 11 23:29:06 2024,"10001
","10001
"
1720733405.6612475,Thu Jul 11 23:30:05 2024,"10001
","None
"
1720733466.5813599,Thu Jul 11 23:31:06 2024,"10001
","10001
"
1720733526.245499,Thu Jul 11 23:32:06 2024,"10001
","None
"
1720733585.942924,Thu Jul 11 23:33:05 2024,"10001
","10001
"
1720733646.325045,Thu Jul 11 23:34:06 2024,"10001
","None
"
1720733706.3014169,Thu Jul 11 23:35:06 2024,"10001
","10001
"
1720733765.9002585,Thu Jul 11 23:36:05 2024,"10001
","None
"
1720733826.6590626,Thu Jul 11 23:37:06 2024,"10001
","10001
"
1720733885.991505,Thu Jul 11 23:38:05 2024,"10001
","None
"
1720733946.0283463,Thu Jul 11 23:39:06 2024,"10001
","None
"
1720734005.7043748,Thu Jul 11 23:40:05 2024,"10001
","10001
"
1720734066.1136932,Thu Jul 11 23:41:06 2024,"10001
","None
"
1720734126.0627668,Thu Jul 11 23:42:06 2024,"10001
","10001
"
1720734185.6955721,Thu Jul 11 23:43:05 2024,"10001
","None
"
1720734246.4253082,Thu Jul 11 23:44:06 2024,"10001
","10001
"
1720734305.772858,Thu Jul 11 23:45:05 2024,"10001
","None
"
1720734366.78477,Thu Jul 11 23:46:06 2024,"10001
","10001
"
1720734426.3611982,Thu Jul 11 23:47:06 2024,"10001
","None
"
1720734486.1479757,Thu Jul 11 23:48:06 2024,"10001
","10001
"
1720734545.4510365,Thu Jul 11 23:49:05 2024,"10001
","None
"
1720734606.01186,Thu Jul 11 23:50:06 2024,"10001
","10001
"
1720734665.5301518,Thu Jul 11 23:51:05 2024,"10001
","None
"
1720734726.37109,Thu Jul 11 23:52:06 2024,"10001
","10001
"
1720734785.6144674,Thu Jul 11 23:53:05 2024,"10001
","None
"
1720734846.232644,Thu Jul 11 23:54:06 2024,"10001
","10001
"
1720734905.7055943,Thu Jul 11 23:55:05 2024,"10001
","None
"
1720734966.592674,Thu Jul 11 23:56:06 2024,"10001
","10001
"
1720735026.2729633,Thu Jul 11 23:57:06 2024,"10001
","None
"
1720735085.814464,Thu Jul 11 23:58:05 2024,"10001
","None
"
1720735146.6268833,Thu Jul 11 23:59:06 2024,"10001
","10001
"
1720735205.9102302,Fri Jul 12 00:00:05 2024,"10001
","None
"
1720735265.9868019,Fri Jul 12 00:01:05 2024,"10001
","10001
"
1720735325.48316,Fri Jul 12 00:02:05 2024,"10001
","None
"
1720735386.343753,Fri Jul 12 00:03:06 2024,"10001
","10001
"
1720735445.5809298,Fri Jul 12 00:04:05 2024,"10001
","None
"
1720735506.205673,Fri Jul 12 00:05:06 2024,"10001
","10001
"
1720735565.6326735,Fri Jul 12 00:06:05 2024,"10001
","None
"
1720735626.5617442,Fri Jul 12 00:07:06 2024,"10001
","10001
"
1720735686.2299492,Fri Jul 12 00:08:06 2024,"10001
","None
"
1720735745.9210286,Fri Jul 12 00:09:05 2024,"10001
","10001
"
1720735806.3136911,Fri Jul 12 00:10:06 2024,"10001
","None
"
1720735866.27388,Fri Jul 12 00:11:06 2024,"10001
","10001
"
1720735925.896322,Fri Jul 12 00:12:05 2024,"10001
","None
"
1720735986.6290722,Fri Jul 12 00:13:06 2024,"10001
","10001
"
1720736045.9736555,Fri Jul 12 00:14:05 2024,"10001
","None
"
1720736105.989491,Fri Jul 12 00:15:05 2024,"10001
","10001
"
1720736165.568992,Fri Jul 12 00:16:05 2024,"10001
","None
"
1720736226.3434584,Fri Jul 12 00:17:06 2024,"10001
","10001
"
1720736285.6558113,Fri Jul 12 00:18:05 2024,"10001
","None
"
1720736346.1958044,Fri Jul 12 00:19:06 2024,"10001
","10001
"
1720736405.7389076,Fri Jul 12 00:20:05 2024,"10001
","None
"
1720736466.5505095,Fri Jul 12 00:21:06 2024,"10001
","10001
"
1720736525.8184025,Fri Jul 12 00:22:05 2024,"10001
","None
"
1720736585.4126065,Fri Jul 12 00:23:05 2024,"10001
","10001
"
1720736645.9098835,Fri Jul 12 00:24:05 2024,"10001
","None
"
1720736706.7599423,Fri Jul 12 00:25:06 2024,"10001
","10001
"
1720736766.0024834,Fri Jul 12 00:26:06 2024,"8020
","None
"
1720736825.6197252,Fri Jul 12 00:27:05 2024,"10001
","10001
"
1720736886.0605443,Fri Jul 12 00:28:06 2024,"10001
","None
"
1720736945.9697442,Fri Jul 12 00:29:05 2024,"10001
","10001
"
1720737005.641322,Fri Jul 12 00:30:05 2024,"10001
","None
"
1720737066.3239198,Fri Jul 12 00:31:06 2024,"10001
","10001
"
1720737125.7201116,Fri Jul 12 00:32:05 2024,"10001
","None
"
1720737186.6759415,Fri Jul 12 00:33:06 2024,"10001
","10001
"
1720737246.2984192,Fri Jul 12 00:34:06 2024,"10001
","None
"
1720737306.0323813,Fri Jul 12 00:35:06 2024,"10001
","10001
"
