Time,Local Time,CO2_1,CO2_2
1723498626.1407604,Mon Aug 12 23:37:06 2024,"877
","10001
"
1723498685.7161791,Mon Aug 12 23:38:05 2024,"892
","None
"
1723498746.227891,Mon Aug 12 23:39:06 2024,"714
","10001
"
1723498805.69003,Mon Aug 12 23:40:05 2024,"887
","None
"
1723498866.8092728,Mon Aug 12 23:41:06 2024,"889
","10001
"
1723498926.1973045,Mon Aug 12 23:42:06 2024,"894
","None
"
1723498986.4013553,Mon Aug 12 23:43:06 2024,"895
","10001
"
1723499045.6876743,Mon Aug 12 23:44:05 2024,"878
","None
"
1723499106.486876,Mon Aug 12 23:45:06 2024,"896
","10001
"
1723499166.1702588,Mon Aug 12 23:46:06 2024,"886
","None
"
1723499225.5789332,Mon Aug 12 23:47:05 2024,"903
","10001
"
1723499286.1706395,Mon Aug 12 23:48:06 2024,"904
","None
"
1723499346.158084,Mon Aug 12 23:49:06 2024,"901
","10001
"
1723499405.6755872,Mon Aug 12 23:50:05 2024,"900
","None
"
1723499466.7498639,Mon Aug 12 23:51:06 2024,"894
","10001
"
1723499526.1609461,Mon Aug 12 23:52:06 2024,"912
","None
"
1723499586.3342865,Mon Aug 12 23:53:06 2024,"899
","10001
"
1723499645.6530454,Mon Aug 12 23:54:05 2024,"913
","None
"
1723499706.4148583,Mon Aug 12 23:55:06 2024,"902
","10001
"
1723499766.1381361,Mon Aug 12 23:56:06 2024,"923
","None
"
1723499825.5074227,Mon Aug 12 23:57:05 2024,"912
","10001
"
1723499886.1374593,Mon Aug 12 23:58:06 2024,"902
","None
"
1723499945.588604,Mon Aug 12 23:59:05 2024,"908
","10001
"
1723500006.123672,Tue Aug 13 00:00:06 2024,"913
","None
"
1723500065.8784826,Tue Aug 13 00:01:05 2024,"918
","None
"
1723500126.7054164,Tue Aug 13 00:02:06 2024,"917
","10001
"
1723500186.374205,Tue Aug 13 00:03:06 2024,"919
","None
"
1723500245.7970717,Tue Aug 13 00:04:05 2024,"753
","10001
"
1723500306.8296666,Tue Aug 13 00:05:06 2024,"912
","10001
"
1723500366.1023974,Tue Aug 13 00:06:06 2024,"922
","None
"
1723500425.9205227,Tue Aug 13 00:07:05 2024,"935
","10001
"
1723500486.5991576,Tue Aug 13 00:08:06 2024,"925
","None
"
1723500546.0059423,Tue Aug 13 00:09:06 2024,"921
","10001
"
1723500605.582554,Tue Aug 13 00:10:05 2024,"925
","None
"
1723500666.0924087,Tue Aug 13 00:11:06 2024,"923
","10001
"
1723500725.5783694,Tue Aug 13 00:12:05 2024,"932
","None
"
